id,Title,average_evaluation,1-distance_v1,1-interval_v1,order_v1,rally_v1
1,The Kansai 2018 R4,2.333333333,0.2916666667,0.07147869166,0.4048442907,0.5149038462
2,The Kansai 2019 R1,2,0.391025641,0.180349489,0.613003096,0.4903846154
3,【CJS入門レクチャー①】mixidea高校定期練習【prisonerに選挙権を与えるべきか】,2,0.4444444444,0.4715274834,0.7941176471,0.450928382
4,【HPDU直前追い込み練習!!】mixidea定期高校練習【議会に女性クオータ導入の是非】,2,0.3055555556,0.9274645565,0.6978609626,0.4112903226
5,【The Kansai 2023 】 Round 1うりぼーA VS APカード【RFD: Tota】,3,0.2857142857,0.7643503875,0.4343891403,0.5480769231
6,【The関西GFモーションを高校生にやってもらった】mixidea高校生定期練習,2.666666667,0,1,0.6965944272,0.6312997347
7,【gangの構成員を逮捕!？】mixidea高校定期練習【あんちゃん、野球やろっか】,2,0.4886363636,0.6554566436,0.6274509804,0.6346153846
8,【mixidea高校定期練習】 May's Tournamement優勝候補 vs 富士見高校+第五,3,0.4642857143,0.5943039266,0.5294117647,0.6538461538
9,【tiger parenting】mixidea高校定期練習,2.333333333,0.6306818182,0.2443560396,0.2301790281,0.4903846154
10,【ゲスト: 大村さん、榎本さん】mixidea高校定期練習【2nd スピーカーの役割レクチャー + ラウンド】,1.666666667,0.5357142857,0.5482078093,0.5173796791,0.6183110368
11,【スマホでpolice brutalityを潰そう】mixidea高校定期練習,1.666666667,0.1666666667,0.7245380183,0.7737556561,0.2064777328
12,【デュエルしようぜ】mixidea高校定期練習,2,0.53125,0.5958739579,0.4159663866,0.5646853147
13,【子なし世帯への重課税!？】mixidea高校定期練習 【もりかんのやさしみ溢れるRFD】,3,0.4642857143,1,1,0.5384615385
14,【小石川高校 vs WSDC連合】高校定期練【高校生のバイトって実際どうなん】,4,0.6370967742,0.9208704253,0.4191176471,0.6937148218
15,【政治家の私生活報道】mixidea定期高校練習,3.333333333,0.4117647059,0.5539070227,0.3746606335,0.9390343699
16,【民営化 vs 国営化】mixidea高校定期練習,3,0.6153846154,0,0.3647058824,1
17,【確かに戦隊モノって女性ヒーローいないよに】mixidea高校定期練習,2,0.45,0.1673810309,0.9653979239,0.3064903846
18,銀杏杯 2016 Oct. Gov.NitA Opp.KDS,2.333333333,0.4078947368,0.2484212128,0.7801857585,0.450928382
19,銀杏杯 Pre-Oct gov JOINTB vs opp HitU-E,3.666666667,0.84375,0.8694362018,0.9264705882,0.6538461538
20,銀杏杯2016 Oct Fainal gov JOINT B vs. opp Kyoto B,1.666666667,0.375,0.9274645565,0.5294117647,0.7959866221